employee_id,first_name,last_name,full_name,age,nationality,location,department,position,level,salary,bonus,arrears,conveyance_charge,monthly_lunch_plan,quarterly_spend_voucher
MIL-00062,Ana,Fletcher,Ana Fletcher,41,German,Munich,Operations,Ops Executive,L9,460054,103380,1816,2621,1555,8658
MIL-00063,Deborah,Hernandez,Deborah Hernandez,40,Indian,Delhi,Customer Support,Support Executive,L6,372920,55805,8039,1525,3400,5920
MIL-00064,Tina,Jensen,Tina Jensen,46,Canadian,Toronto,Product,Associate PM,L5,291500,55311,0,4434,2940,7389
MIL-00065,Gerald,Harrison,Gerald Harrison,58,Canadian,Vancouver,Finance,Senior Analyst,L6,330193,59071,0,3561,2340,3234
MIL-00066,David,Sanchez,David Sanchez,34,Indian,Hyderabad,Sales & Marketing,Director,L4,120891,13856,0,4615,1899,11066
MIL-00067,Shannon,Sandoval,Shannon Sandoval,39,British,Manchester,HR,HR Director,L9,860247,129598,0,3376,1906,14635
MIL-00068,Michael,Kim,Michael Kim,36,Indian,Delhi,Product,Senior PM,L9,500586,91933,0,1967,3281,6347
MIL-00069,Chloe,Clark,Chloe Clark,33,American,New York,Data & AI,Data Analyst,L4,154964,31187,0,3322,1209,5384
MIL-00070,Meredith,West,Meredith West,41,German,Berlin,HR,HR Associate,L5,190549,34351,0,4917,3771,8518
MIL-00071,Elizabeth,Phillips,Elizabeth Phillips,33,German,Munich,Operations,Director,L2,53410,8417,9571,2344,3006,14153
MIL-00072,William,Bennett,William Bennett,55,Canadian,Toronto,Finance,Director,L10,457550,69832,0,4110,3812,12463
MIL-00073,Bridget,Mccormick,Bridget Mccormick,39,Canadian,Toronto,Operations,Ops Manager,L4,67282,16176,0,2462,2841,11384
MIL-00074,Michelle,Johnson,Michelle Johnson,56,German,Berlin,Operations,Director,L2,51956,11314,6957,4682,2251,11501
MIL-00075,William,Bass,William Bass,48,Australian,Sydney,Sales & Marketing,Marketing Associate,L2,43092,9307,0,1854,3144,7228
MIL-00076,Kathryn,Glenn,Kathryn Glenn,53,American,New York,Engineering,Junior Engineer,L1,46060,7620,0,1532,3021,10352
MIL-00077,Steven,Armstrong,Steven Armstrong,27,Indian,Chennai,Customer Support,Manager,L3,105372,20751,2669,2726,3006,5796
MIL-00078,Kelsey,Cole,Kelsey Cole,24,Canadian,Vancouver,HR,HR Associate,L4,178658,22863,0,2040,3781,9375
MIL-00079,Christine,Nelson,Christine Nelson,32,German,Berlin,Customer Support,Manager,L7,692354,128864,0,1729,1379,11052
MIL-00080,Randy,Johnson,Randy Johnson,24,Australian,Melbourne,Operations,Ops Manager,L3,77999,17907,0,4165,2023,14938
MIL-00081,Gregory,Kirby,Gregory Kirby,46,Indian,Pune,Data & AI,AI Lead,L4,177864,29809,0,3487,1970,3769
MIL-00082,Kelsey,Graves,Kelsey Graves,43,Australian,Sydney,Engineering,Senior Engineer,L8,403890,69089,0,4103,1604,10686
MIL-00083,Scott,Klein,Scott Klein,46,British,London,Finance,Manager,L9,547273,109539,4235,4826,3063,9759
MIL-00084,Andrew,Arnold,Andrew Arnold,35,Canadian,Vancouver,Engineering,Junior Engineer,L5,247706,30345,0,4967,1323,10815
MIL-00085,Joshua,Olson,Joshua Olson,38,Australian,Melbourne,HR,HR Associate,L10,719835,170384,0,3488,1855,5506
MIL-00086,Robin,Wagner,Robin Wagner,25,Indian,Pune,Sales & Marketing,Manager,L5,241914,35171,0,1795,2412,9367
MIL-00087,Andrea,Welch,Andrea Welch,34,American,Chicago,Finance,Analyst,L8,787518,85298,4833,3571,2585,8463
MIL-00088,Cody,Meadows,Cody Meadows,27,American,San Francisco,Sales & Marketing,Marketing Associate,L8,650490,119031,0,4373,2265,12842
MIL-00089,Aaron,Fitzgerald,Aaron Fitzgerald,29,Australian,Sydney,Sales & Marketing,Manager,L6,317799,64740,0,3375,2915,2161
MIL-00090,Bryan,Horn,Bryan Horn,58,British,Manchester,Finance,Senior Analyst,L3,134640,21349,8978,4729,2050,8197
MIL-00091,Daniel,Miller,Daniel Miller,35,British,Manchester,HR,HR Director,L7,834334,86253,0,3644,3178,12550
MIL-00092,Christopher,White,Christopher White,57,German,Berlin,Data & AI,AI Lead,L10,697271,134139,0,3065,2013,2173
MIL-00093,Shane,Herrera,Shane Herrera,57,Indian,Hyderabad,Sales & Marketing,Director,L8,615340,104472,0,4526,1216,9150
MIL-00094,Sara,Ramirez,Sara Ramirez,37,Australian,Melbourne,Finance,Analyst,L8,406981,95964,0,2581,1685,12853
MIL-00095,Roberto,Marquez,Roberto Marquez,23,Canadian,Toronto,Sales & Marketing,Sales Executive,L3,137352,24587,0,4027,2936,7184
MIL-00096,Timothy,Beck,Timothy Beck,60,American,Chicago,Data & AI,Data Analyst,L1,31938,6512,0,1991,3240,14559
MIL-00097,Melissa,Nelson,Melissa Nelson,41,Canadian,Vancouver,Customer Support,Manager,L5,273374,39847,7660,4383,1813,3304
MIL-00098,Jennifer,Reese,Jennifer Reese,50,German,Berlin,Customer Support,Support Executive,L10,487472,51260,0,2805,3871,7843
MIL-00099,Ryan,Jackson,Ryan Jackson,35,German,Munich,Sales & Marketing,Sales Executive,L4,127633,30179,0,2220,3145,7650
MIL-00100,Lisa,Sharp,Lisa Sharp,39,British,London,Product,Director,L7,507065,126645,9418,1515,2098,5346
MIL-00101,Veronica,Carter,Veronica Carter,44,Australian,Sydney,Sales & Marketing,Sales Executive,L5,267334,54701,0,1664,3599,3434
MIL-00102,Darren,Raymond,Darren Raymond,22,Australian,Sydney,Customer Support,Manager,L3,153935,28419,0,4451,3525,10087
MIL-00103,Mike,Martin,Mike Martin,46,Australian,Sydney,Data & AI,ML Engineer,L2,26511,4075,1031,1704,3227,4863
MIL-00104,Becky,Thomas,Becky Thomas,32,Australian,Melbourne,Sales & Marketing,Director,L10,899156,133701,0,4549,2676,5809
MIL-00105,Heather,Medina,Heather Medina,40,Canadian,Toronto,Customer Support,Support Executive,L3,97876,21152,0,2433,1753,14610
MIL-00106,Thomas,Rios,Thomas Rios,27,British,London,Engineering,Engineering Manager,L8,444285,65031,0,2231,3620,9741
MIL-00107,Robert,Mathews,Robert Mathews,52,British,London,Sales & Marketing,Sales Executive,L7,835898,168480,7157,1829,2638,4806
MIL-00108,Jennifer,Berry,Jennifer Berry,29,American,New York,HR,HR Associate,L3,152244,16355,0,4171,2119,4396
MIL-00109,Amanda,Brown,Amanda Brown,33,American,Chicago,Engineering,Tech Lead,L2,21118,3404,0,3547,2644,6797
MIL-00110,Michael,Gregory,Michael Gregory,30,British,Manchester,Finance,Director,L4,100861,23638,8554,3314,1469,4368
MIL-00111,Mary,Luna,Mary Luna,51,British,London,Data & AI,Data Analyst,L7,421599,97282,0,2669,3321,10234
MIL-00112,Larry,Jones,Larry Jones,43,Indian,Hyderabad,Sales & Marketing,Sales Executive,L6,375453,92758,0,4399,1932,11132
MIL-00113,Edward,Hobbs,Edward Hobbs,48,Canadian,Toronto,Engineering,Junior Engineer,L10,694985,147059,2608,2221,3864,4885
MIL-00114,Natasha,Huber,Natasha Huber,60,British,Manchester,Sales & Marketing,Director,L5,318404,42271,0,3933,2290,4528
MIL-00115,Curtis,Brown,Curtis Brown,22,British,Manchester,HR,HR Associate,L1,46194,9134,5983,2938,2253,3599
MIL-00116,John,Fields,John Fields,48,British,Manchester,Customer Support,Support Executive,L7,791174,113365,4689,1930,1667,4346
MIL-00117,Kristopher,Boone,Kristopher Boone,47,Indian,Chennai,Data & AI,Data Analyst,L1,32547,6262,0,3973,1277,10146
MIL-00118,Paul,Garrison,Paul Garrison,53,German,Berlin,Data & AI,AI Lead,L9,489561,98429,0,3065,3237,8389
MIL-00119,Denise,Olson,Denise Olson,60,Australian,Melbourne,Data & AI,Data Scientist,L4,147372,19945,0,2508,2995,10568
MIL-00120,Justin,Miller,Justin Miller,57,American,San Francisco,Product,Senior PM,L2,31886,3195,0,3583,2104,6604
MIL-00121,Evelyn,Chen,Evelyn Chen,35,American,San Francisco,Engineering,Engineering Manager,L4,126257,22419,0,3978,1714,2063
MIL-00122,Stephanie,Thomas,Stephanie Thomas,53,American,Chicago,Sales & Marketing,Manager,L3,155541,18029,8806,4748,3114,7601
MIL-00123,Kevin,Dunlap,Kevin Dunlap,60,American,San Francisco,Data & AI,AI Lead,L5,336982,37428,9132,3607,2079,11230
MIL-00124,Richard,Gibbs,Richard Gibbs,28,Australian,Sydney,Finance,Manager,L7,609176,89001,0,3928,2081,6809
MIL-00125,Kayla,Washington,Kayla Washington,56,Indian,Chennai,Operations,Ops Manager,L3,148544,22777,0,4395,1596,13001
MIL-00126,Martha,Watkins,Martha Watkins,53,American,San Francisco,Operations,Director,L3,104349,22119,0,1511,3624,10935
MIL-00127,Elizabeth,Haley,Elizabeth Haley,51,Australian,Melbourne,Finance,Director,L9,720465,179040,0,4509,3707,5550
MIL-00128,Sophia,King,Sophia King,24,German,Berlin,HR,HR Manager,L5,336788,77697,0,4470,3293,10293
MIL-00129,Steven,Montgomery,Steven Montgomery,48,American,San Francisco,Product,Associate PM,L10,587287,71382,7198,4844,3351,6490
MIL-00130,Julie,Hansen,Julie Hansen,56,Australian,Sydney,Sales & Marketing,Manager,L2,48770,9046,0,3619,3591,5588
MIL-00131,Kristi,Edwards,Kristi Edwards,55,Indian,Pune,HR,HR Manager,L10,454966,101886,0,2946,2512,2340
MIL-00132,Melissa,Miller,Melissa Miller,56,British,Manchester,Operations,Director,L9,596920,129605,0,3412,1691,5090
MIL-00133,Kyle,Golden,Kyle Golden,35,Australian,Sydney,HR,HR Associate,L3,103308,21171,0,3089,2398,12797
MIL-00134,John,Johnson,John Johnson,54,Indian,Hyderabad,Sales & Marketing,Manager,L3,160469,31136,0,2095,2600,6109
MIL-00135,John,Ward,John Ward,53,Australian,Melbourne,Customer Support,Manager,L10,876049,148021,7486,4794,2682,12655
MIL-00136,Kevin,Kim,Kevin Kim,34,Australian,Melbourne,Product,Product Manager,L2,20896,4417,0,3368,3824,9473
MIL-00137,Tanner,Zamora,Tanner Zamora,33,American,New York,Product,Director,L9,619407,102525,0,4968,2715,9755
MIL-00138,Vanessa,Harris,Vanessa Harris,46,American,San Francisco,Product,Associate PM,L5,331786,70911,8292,4854,1901,9772
MIL-00139,Jennifer,Roth,Jennifer Roth,23,German,Munich,Sales & Marketing,Director,L9,605515,71742,0,3106,3856,3653
MIL-00140,Jennifer,Johnson,Jennifer Johnson,24,Indian,Mumbai,Sales & Marketing,Director,L6,243211,53977,4337,3177,2737,14842
MIL-00141,Alejandro,Stokes,Alejandro Stokes,50,British,London,Data & AI,ML Engineer,L4,148844,15640,0,2113,2901,13604
MIL-00142,Ronald,Webb,Ronald Webb,38,Canadian,Toronto,Engineering,Senior Engineer,L9,837078,101424,0,3257,1774,6993
MIL-00143,Derek,Scott,Derek Scott,21,British,London,Finance,Analyst,L2,52520,5968,0,4629,2358,9716
MIL-00144,Kevin,Foster,Kevin Foster,49,Canadian,Vancouver,Operations,Director,L3,85827,21147,0,2958,1305,12236
MIL-00145,Holly,Hart,Holly Hart,24,British,London,Operations,Ops Manager,L7,624264,67128,0,3365,1468,2525
MIL-00146,Terry,Archer,Terry Archer,59,Canadian,Toronto,Product,Director,L8,880963,195993,0,2576,2429,3983
MIL-00147,Jose,Bass,Jose Bass,50,Indian,Delhi,Finance,Manager,L5,230319,32162,0,1773,1722,12289
MIL-00148,Andrew,Cardenas,Andrew Cardenas,45,American,San Francisco,Finance,Manager,L8,675766,85871,7258,3413,3945,13759
MIL-00149,Sarah,Galloway,Sarah Galloway,43,Indian,Hyderabad,Operations,Director,L8,709702,174312,0,4453,2003,5600
MIL-00150,Lauren,Jones,Lauren Jones,46,American,New York,HR,HR Director,L2,28424,4720,0,2893,2623,6538
MIL-00151,Michelle,Taylor,Michelle Taylor,37,Indian,Mumbai,Sales & Marketing,Marketing Associate,L1,41000,8649,0,2516,2839,12833
MIL-00152,Kimberly,Cohen,Kimberly Cohen,26,Indian,Pune,Customer Support,Manager,L8,552289,131818,0,3837,2995,8147
MIL-00153,Kayla,Hernandez,Kayla Hernandez,56,American,Chicago,Data & AI,Data Scientist,L8,835219,185192,0,4388,3192,2889
MIL-00154,Marc,Randall,Marc Randall,27,Australian,Melbourne,Engineering,Intern,L6,255378,39590,0,1510,3479,9121
MIL-00155,Christopher,Thornton,Christopher Thornton,58,German,Berlin,Data & AI,Data Analyst,L3,154974,36865,0,2806,1389,3733
MIL-00156,Allison,Leon,Allison Leon,60,Canadian,Vancouver,Customer Support,Team Lead,L9,425294,47461,0,4795,2499,12326
MIL-00157,Travis,Jones,Travis Jones,46,Australian,Sydney,Product,Director,L5,312103,49862,2787,2846,3169,13786
MIL-00158,Michelle,Michael,Michelle Michael,25,German,Berlin,Operations,Ops Executive,L8,437506,100379,0,2189,2711,11639
MIL-00159,Melissa,Johnson,Melissa Johnson,51,Indian,Mumbai,Operations,Ops Executive,L3,139590,19873,4092,4550,3039,11664
MIL-00160,Ethan,Nelson,Ethan Nelson,42,Canadian,Toronto,Data & AI,Data Analyst,L1,44579,8491,9317,3954,3904,10809
MIL-00161,Sydney,Robbins,Sydney Robbins,58,American,San Francisco,Data & AI,ML Engineer,L9,743838,147903,0,2697,2956,4647
MIL-00162,Juan,Sanchez,Juan Sanchez,33,British,London,Sales & Marketing,Sales Executive,L7,599741,66182,6965,3058,2225,10162
MIL-00163,Amanda,Miller,Amanda Miller,33,German,Berlin,Engineering,Engineering Manager,L4,169446,33834,9868,2420,2147,5277
MIL-00164,Mary,Edwards,Mary Edwards,34,Indian,Pune,Product,Director,L6,278706,39153,0,4583,3735,8776
MIL-00165,Rita,Fox,Rita Fox,54,Canadian,Vancouver,Product,Senior PM,L3,133768,21506,0,3378,1813,6271
MIL-00166,Timothy,Martin,Timothy Martin,34,American,San Francisco,Sales & Marketing,Director,L3,156442,20404,0,2711,1976,8044
MIL-00167,Bradley,Moore,Bradley Moore,37,Australian,Melbourne,Operations,Ops Executive,L3,81049,8487,0,3327,1771,7275
MIL-00168,Michael,Petty,Michael Petty,48,German,Berlin,Finance,Senior Analyst,L2,36001,7406,0,4427,3917,6229
MIL-00169,Veronica,Russell,Veronica Russell,54,Canadian,Vancouver,Data & AI,ML Engineer,L6,257953,28894,0,2986,1411,3295
MIL-00170,Lauren,Clark,Lauren Clark,39,German,Munich,Engineering,Senior Engineer,L1,29976,6823,0,1740,2813,8250
MIL-00171,David,Martinez,David Martinez,39,Indian,Bangalore,Data & AI,AI Lead,L4,75709,13308,7040,3758,1350,14009
MIL-00172,Patrick,Romero,Patrick Romero,44,German,Berlin,Engineering,Engineering Manager,L7,857568,105694,0,2449,1698,10290
MIL-00173,Miguel,Weber,Miguel Weber,37,Australian,Sydney,HR,HR Associate,L6,354344,74620,9301,4578,1529,2560
MIL-00174,Justin,Jackson,Justin Jackson,26,American,San Francisco,Data & AI,ML Engineer,L4,135016,22682,0,2567,1950,11784
MIL-00175,Marie,Camacho,Marie Camacho,27,American,New York,Data & AI,Data Analyst,L9,580828,112100,2597,3204,1674,2625
MIL-00176,Kathleen,Campbell,Kathleen Campbell,55,Canadian,Vancouver,Customer Support,Team Lead,L7,403873,76895,0,2798,3987,8642
MIL-00177,Ian,Hunt,Ian Hunt,38,American,San Francisco,Product,Director,L6,215895,33528,0,1685,3738,4422
MIL-00178,Belinda,Myers,Belinda Myers,35,Australian,Melbourne,HR,HR Associate,L5,224348,32309,0,3490,3928,5343
MIL-00179,Willie,Gonzalez,Willie Gonzalez,32,Australian,Sydney,HR,HR Director,L5,319289,44737,1172,4370,2146,13923
MIL-00180,Steven,Mercer,Steven Mercer,25,Australian,Sydney,Product,Director,L5,257768,57153,2008,2950,3077,5920
MIL-00181,Kristen,Rodriguez,Kristen Rodriguez,22,Canadian,Toronto,Data & AI,ML Engineer,L3,162544,25863,0,4041,2473,9080
MIL-00182,Jorge,Wright,Jorge Wright,59,Indian,Hyderabad,Engineering,Senior Engineer,L10,752464,177709,0,4700,3401,2058
MIL-00183,Yolanda,Stafford,Yolanda Stafford,55,American,New York,HR,HR Associate,L6,196655,43351,0,2337,2920,5159
MIL-00184,Laura,Grant,Laura Grant,45,American,Chicago,HR,HR Manager,L7,719259,139225,1141,4626,1580,12916
MIL-00185,Maria,Tyler,Maria Tyler,44,British,London,Operations,Director,L7,845153,134878,0,3580,1543,7802
MIL-00186,Kayla,Kerr,Kayla Kerr,27,British,London,Customer Support,Manager,L7,727075,165930,6859,4664,3762,3514
MIL-00187,Lindsay,Williams,Lindsay Williams,32,American,San Francisco,Data & AI,Data Analyst,L1,57858,13761,4638,1890,3101,12283
MIL-00188,Erica,Smith,Erica Smith,49,Canadian,Vancouver,Sales & Marketing,Sales Executive,L7,893075,198705,0,4768,3720,2554
MIL-00189,Michael,Fisher,Michael Fisher,29,German,Munich,Product,Director,L6,340577,34116,0,1767,3677,2437
MIL-00190,Sabrina,Carney,Sabrina Carney,54,Indian,Delhi,Sales & Marketing,Manager,L8,654573,96080,7078,3948,1661,14506
MIL-00191,Jeffrey,Davis,Jeffrey Davis,46,British,Manchester,Data & AI,Data Scientist,L4,147822,18515,0,2027,2725,12344
MIL-00192,Anthony,Burnett,Anthony Burnett,49,German,Berlin,Data & AI,AI Lead,L9,590033,119157,0,3812,3835,6088
MIL-00193,Rodney,Morton,Rodney Morton,30,Canadian,Toronto,HR,HR Manager,L7,596898,72058,0,2814,1382,5192
MIL-00194,Jody,Ali,Jody Ali,53,German,Berlin,Finance,Senior Analyst,L6,235864,45964,0,2812,1498,9600
MIL-00195,Sharon,Ferguson,Sharon Ferguson,27,German,Berlin,Data & AI,Data Analyst,L10,738882,82107,0,4262,3298,12308
MIL-00196,Kristina,Willis,Kristina Willis,50,Canadian,Toronto,Sales & Marketing,Director,L6,195691,35179,0,1806,3806,11439
MIL-00197,Joshua,Porter,Joshua Porter,54,Australian,Melbourne,Operations,Ops Executive,L1,54417,7030,0,3147,1685,2542
MIL-00198,Monica,Nash,Monica Nash,29,Australian,Melbourne,Engineering,Engineering Manager,L2,42407,8875,0,2885,3657,4791
MIL-00199,Joshua,Wilson,Joshua Wilson,47,British,Manchester,Operations,Director,L8,480271,115960,4904,4405,2373,13092
MIL-00200,Judy,Johnson,Judy Johnson,54,British,Manchester,Customer Support,Manager,L10,428912,67922,0,2825,3737,11307
MIL-00201,Kevin,Snyder,Kevin Snyder,40,Indian,Pune,Sales & Marketing,Director,L8,768488,158515,0,2682,2847,4163
MIL-00202,Kelly,Olson,Kelly Olson,43,British,London,Finance,Director,L8,897288,101706,0,2231,1829,11317
MIL-00203,Steven,Bradley,Steven Bradley,52,German,Munich,Customer Support,Support Executive,L1,45148,8386,0,2395,1608,8729
MIL-00204,Randall,Jenkins,Randall Jenkins,29,British,Manchester,Data & AI,ML Engineer,L3,156303,30055,0,3005,3804,9427
MIL-00205,Misty,Sandoval,Misty Sandoval,32,British,London,Data & AI,AI Lead,L5,254549,36116,0,1553,2151,13413
MIL-00206,Bryan,Cook,Bryan Cook,26,Canadian,Vancouver,Product,Director,L2,35735,6982,2055,4395,1460,10145
MIL-00207,Alex,Andrews,Alex Andrews,56,British,London,Operations,Director,L3,136632,25947,3218,2262,1922,3002
MIL-00208,Diana,Flores,Diana Flores,30,British,Manchester,Data & AI,Data Analyst,L5,358913,81295,0,4888,3903,10229
MIL-00209,Susan,Zimmerman,Susan Zimmerman,31,Canadian,Toronto,HR,HR Manager,L2,56164,10541,9917,2257,1323,9035
MIL-00210,Andrew,Lyons,Andrew Lyons,58,German,Berlin,Product,Senior PM,L10,515492,90327,0,4562,1573,8403
